品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,松明,10314
名詞-普通名詞-一般,酔っ払い,10406
名詞-普通名詞-サ変可能,警護,10392
名詞-普通名詞-一般,相棒,10746
名詞-普通名詞-一般,大男,10586
名詞-普通名詞-一般,戸棚,10655
名詞-普通名詞-一般,暗がり,10908
名詞-普通名詞-一般,梢,11080
名詞-普通名詞-一般,マント,10152
名詞-普通名詞-一般,エプロン,10536
名詞-普通名詞-一般,武芸,10710
名詞-普通名詞-形状詞可能,大柄,11051
名詞-普通名詞-一般,マダム,10980
名詞-普通名詞-一般,羞恥,10604
名詞-普通名詞-サ変可能,驚愕,10842
名詞-普通名詞-一般,商い,11252
名詞-普通名詞-形状詞可能,色白,10806
名詞-普通名詞-一般,馬上,11334
名詞-普通名詞-一般,紙片,11277
名詞-普通名詞-一般,義姉,9331
名詞-普通名詞-一般,左腕,11089
名詞-普通名詞-一般,本陣,11395
名詞-普通名詞-一般,瑠璃,11374
名詞-普通名詞-一般,死人,10899
名詞-普通名詞-一般,家元,10771
名詞-普通名詞-一般,月光,10882
名詞-普通名詞-一般,人殺し,11095
名詞-普通名詞-一般,見覚え,10479
名詞-普通名詞-一般,共犯,11106
名詞-普通名詞-サ変可能,失神,10645
名詞-普通名詞-一般,茶の間,11360
名詞-普通名詞-一般,御子,11133
名詞-普通名詞-一般,山上,11435
名詞-普通名詞-一般,陶,11269
名詞-普通名詞-一般,手代,11226
名詞-普通名詞-一般,片腕,11646
名詞-普通名詞-一般,口振り,11090
名詞-普通名詞-形状詞可能,迂闊,11348
名詞-普通名詞-一般,足軽,11429
名詞-普通名詞-一般,手付き,11587
名詞-普通名詞-一般,一物,11262
名詞-普通名詞-一般,サイレン,11216
名詞-普通名詞-一般,深紅,12295
名詞-普通名詞-一般,刺客,10760
名詞-普通名詞-一般,眉間,11189
名詞-普通名詞-一般,血の気,11588
名詞-普通名詞-サ変可能,変装,12047
名詞-普通名詞-サ変可能,鼓動,11517
名詞-普通名詞-一般,所帯,11992
名詞-普通名詞-一般,全裸,11377
名詞-普通名詞-一般,体付き,11417
名詞-普通名詞-一般,脇腹,11568
名詞-普通名詞-一般,草叢,11648
名詞-普通名詞-サ変可能,苦笑い,11584
名詞-普通名詞-サ変可能,一礼,12223
名詞-普通名詞-一般,暖炉,12666
名詞-普通名詞-形状詞可能,小刻み,11814
名詞-普通名詞-形状詞可能,無頼,12494
名詞-普通名詞-一般,街灯,12674
名詞-普通名詞-一般,長身,12106
名詞-普通名詞-一般,飛沫,12232
名詞-普通名詞-一般,人通り,12406
名詞-普通名詞-一般,公儀,12633
名詞-普通名詞-一般,旅籠,12788
名詞-普通名詞-一般,銃声,12480
名詞-普通名詞-一般,表通り,13150
名詞-普通名詞-一般,手綱,12904
名詞-普通名詞-一般,靄,12785
名詞-普通名詞-一般,こめかみ,12519
名詞-普通名詞-一般,噴水,12574
名詞-普通名詞-一般,ウエートレス,12536
名詞-普通名詞-一般,遍路,12734
